date,home_team,away_team,home_score,away_score,status
2026-04-26T00:00:00Z,Torino FC,FC Internazionale Milano,,,SCHEDULED
2026-04-26T00:00:00Z,Hellas Verona FC,US Lecce,,,SCHEDULED
2026-04-26T00:00:00Z,SS Lazio,Udinese Calcio,,,SCHEDULED
2026-04-26T00:00:00Z,Parma Calcio 1913,AC Pisa 1909,,,SCHEDULED
2026-04-26T00:00:00Z,SSC Napoli,US Cremonese,,,SCHEDULED
2026-05-03T00:00:00Z,AS Roma,ACF Fiorentina,,,SCHEDULED
2026-05-03T00:00:00Z,Atalanta BC,Genoa CFC,,,SCHEDULED
2026-05-03T00:00:00Z,Como 1907,SSC Napoli,,,SCHEDULED
2026-05-03T00:00:00Z,Bologna FC 1909,Cagliari Calcio,,,SCHEDULED
2026-05-03T00:00:00Z,FC Internazionale Milano,Parma Calcio 1913,,,SCHEDULED
2026-05-03T00:00:00Z,Juventus FC,Hellas Verona FC,,,SCHEDULED
2026-05-03T00:00:00Z,AC Pisa 1909,US Lecce,,,SCHEDULED
2026-05-03T00:00:00Z,US Sassuolo Calcio,AC Milan,,,SCHEDULED
2026-05-03T00:00:00Z,Udinese Calcio,Torino FC,,,SCHEDULED
2026-05-03T00:00:00Z,US Cremonese,SS Lazio,,,SCHEDULED
2026-05-10T00:00:00Z,ACF Fiorentina,Genoa CFC,,,SCHEDULED
2026-05-10T00:00:00Z,AC Milan,Atalanta BC,,,SCHEDULED
2026-05-10T00:00:00Z,Cagliari Calcio,Udinese Calcio,,,SCHEDULED
2026-05-10T00:00:00Z,Torino FC,US Sassuolo Calcio,,,SCHEDULED
2026-05-10T00:00:00Z,Hellas Verona FC,Como 1907,,,SCHEDULED
2026-05-10T00:00:00Z,SS Lazio,FC Internazionale Milano,,,SCHEDULED
2026-05-10T00:00:00Z,Parma Calcio 1913,AS Roma,,,SCHEDULED
2026-05-10T00:00:00Z,SSC Napoli,Bologna FC 1909,,,SCHEDULED
2026-05-10T00:00:00Z,US Cremonese,AC Pisa 1909,,,SCHEDULED
2026-05-10T00:00:00Z,US Lecce,Juventus FC,,,SCHEDULED
2026-05-17T00:00:00Z,AS Roma,SS Lazio,,,SCHEDULED
2026-05-17T00:00:00Z,Atalanta BC,Bologna FC 1909,,,SCHEDULED
2026-05-17T00:00:00Z,Cagliari Calcio,Torino FC,,,SCHEDULED
2026-05-17T00:00:00Z,Genoa CFC,AC Milan,,,SCHEDULED
2026-05-17T00:00:00Z,Como 1907,Parma Calcio 1913,,,SCHEDULED
2026-05-17T00:00:00Z,FC Internazionale Milano,Hellas Verona FC,,,SCHEDULED
2026-05-17T00:00:00Z,Juventus FC,ACF Fiorentina,,,SCHEDULED
2026-05-17T00:00:00Z,AC Pisa 1909,SSC Napoli,,,SCHEDULED
2026-05-17T00:00:00Z,US Sassuolo Calcio,US Lecce,,,SCHEDULED
2026-05-17T00:00:00Z,Udinese Calcio,US Cremonese,,,SCHEDULED
2026-05-24T00:00:00Z,ACF Fiorentina,Atalanta BC,,,SCHEDULED
2026-05-24T00:00:00Z,AC Milan,Cagliari Calcio,,,SCHEDULED
2026-05-24T00:00:00Z,Bologna FC 1909,FC Internazionale Milano,,,SCHEDULED
2026-05-24T00:00:00Z,Torino FC,Juventus FC,,,SCHEDULED
2026-05-24T00:00:00Z,Hellas Verona FC,AS Roma,,,SCHEDULED
2026-05-24T00:00:00Z,SS Lazio,AC Pisa 1909,,,SCHEDULED
2026-05-24T00:00:00Z,Parma Calcio 1913,US Sassuolo Calcio,,,SCHEDULED
2026-05-24T00:00:00Z,SSC Napoli,Udinese Calcio,,,SCHEDULED
2026-05-24T00:00:00Z,US Cremonese,Como 1907,,,SCHEDULED
2026-05-24T00:00:00Z,US Lecce,Genoa CFC,,,SCHEDULED
